PING 10.0.10.170 (10.0.10.170) 56(84) bytes of data.
64 bytes from 10.0.10.170: icmp_seq=40 ttl=63 time=0.613 ms
64 bytes from 10.0.10.170: icmp_seq=41 ttl=63 time=0.666 ms
64 bytes from 10.0.10.170: icmp_seq=42 ttl=63 time=1.16 ms
64 bytes from 10.0.10.170: icmp_seq=43 ttl=63 time=0.668 ms
64 bytes from 10.0.10.170: icmp_seq=44 ttl=63 time=1.07 ms
64 bytes from 10.0.10.170: icmp_seq=45 ttl=63 time=1.02 ms
64 bytes from 10.0.10.170: icmp_seq=46 ttl=63 time=0.780 ms
64 bytes from 10.0.10.170: icmp_seq=47 ttl=63 time=0.668 ms
64 bytes from 10.0.10.170: icmp_seq=48 ttl=63 time=0.918 ms
64 bytes from 10.0.10.170: icmp_seq=49 ttl=63 time=1.19 ms
64 bytes from 10.0.10.170: icmp_seq=50 ttl=63 time=0.868 ms
64 bytes from 10.0.10.170: icmp_seq=51 ttl=63 time=1.06 ms
64 bytes from 10.0.10.170: icmp_seq=52 ttl=63 time=1.02 ms
64 bytes from 10.0.10.170: icmp_seq=53 ttl=63 time=1.30 ms
64 bytes from 10.0.10.170: icmp_seq=54 ttl=63 time=0.982 ms
64 bytes from 10.0.10.170: icmp_seq=55 ttl=63 time=1.91 ms
64 bytes from 10.0.10.170: icmp_seq=56 ttl=63 time=1.03 ms
64 bytes from 10.0.10.170: icmp_seq=57 ttl=63 time=1.11 ms
64 bytes from 10.0.10.170: icmp_seq=58 ttl=63 time=0.573 ms
64 bytes from 10.0.10.170: icmp_seq=59 ttl=63 time=1.04 ms
64 bytes from 10.0.10.170: icmp_seq=60 ttl=63 time=0.670 ms
64 bytes from 10.0.10.170: icmp_seq=61 ttl=63 time=1.19 ms
64 bytes from 10.0.10.170: icmp_seq=62 ttl=63 time=0.563 ms
64 bytes from 10.0.10.170: icmp_seq=63 ttl=63 time=0.815 ms
64 bytes from 10.0.10.170: icmp_seq=64 ttl=63 time=0.737 ms
64 bytes from 10.0.10.170: icmp_seq=65 ttl=63 time=0.834 ms
64 bytes from 10.0.10.170: icmp_seq=66 ttl=63 time=0.617 ms
64 bytes from 10.0.10.170: icmp_seq=67 ttl=63 time=0.545 ms
64 bytes from 10.0.10.170: icmp_seq=68 ttl=63 time=1.14 ms
64 bytes from 10.0.10.170: icmp_seq=69 ttl=63 time=0.657 ms
64 bytes from 10.0.10.170: icmp_seq=70 ttl=63 time=0.577 ms
64 bytes from 10.0.10.170: icmp_seq=71 ttl=63 time=0.658 ms
64 bytes from 10.0.10.170: icmp_seq=72 ttl=63 time=1.02 ms
64 bytes from 10.0.10.170: icmp_seq=73 ttl=63 time=0.625 ms
64 bytes from 10.0.10.170: icmp_seq=74 ttl=63 time=0.894 ms
64 bytes from 10.0.10.170: icmp_seq=75 ttl=63 time=0.892 ms
64 bytes from 10.0.10.170: icmp_seq=76 ttl=63 time=0.751 ms
64 bytes from 10.0.10.170: icmp_seq=77 ttl=63 time=1.00 ms
64 bytes from 10.0.10.170: icmp_seq=78 ttl=63 time=0.808 ms
64 bytes from 10.0.10.170: icmp_seq=79 ttl=63 time=0.688 ms
64 bytes from 10.0.10.170: icmp_seq=80 ttl=63 time=0.641 ms
64 bytes from 10.0.10.170: icmp_seq=81 ttl=63 time=0.675 ms
64 bytes from 10.0.10.170: icmp_seq=82 ttl=63 time=1.16 ms
64 bytes from 10.0.10.170: icmp_seq=83 ttl=63 time=0.719 ms
64 bytes from 10.0.10.170: icmp_seq=84 ttl=63 time=0.645 ms
64 bytes from 10.0.10.170: icmp_seq=85 ttl=63 time=0.716 ms
64 bytes from 10.0.10.170: icmp_seq=86 ttl=63 time=0.596 ms
64 bytes from 10.0.10.170: icmp_seq=87 ttl=63 time=0.941 ms
64 bytes from 10.0.10.170: icmp_seq=88 ttl=63 time=0.998 ms
64 bytes from 10.0.10.170: icmp_seq=89 ttl=63 time=0.513 ms
64 bytes from 10.0.10.170: icmp_seq=90 ttl=63 time=1.04 ms
64 bytes from 10.0.10.170: icmp_seq=91 ttl=63 time=0.662 ms
64 bytes from 10.0.10.170: icmp_seq=92 ttl=63 time=1.39 ms
64 bytes from 10.0.10.170: icmp_seq=93 ttl=63 time=0.683 ms
64 bytes from 10.0.10.170: icmp_seq=94 ttl=63 time=1.35 ms
64 bytes from 10.0.10.170: icmp_seq=95 ttl=63 time=1.24 ms
64 bytes from 10.0.10.170: icmp_seq=96 ttl=63 time=1.59 ms
64 bytes from 10.0.10.170: icmp_seq=97 ttl=63 time=1.46 ms
64 bytes from 10.0.10.170: icmp_seq=98 ttl=63 time=1.24 ms
64 bytes from 10.0.10.170: icmp_seq=99 ttl=63 time=1.38 ms
64 bytes from 10.0.10.170: icmp_seq=100 ttl=63 time=0.900 ms

--- 10.0.10.170 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99885ms
rtt min/avg/max/mdev = 0.513/0.981/1.908/0.284 ms
