PING 10.0.10.170 (10.0.10.170) 56(84) bytes of data.
64 bytes from 10.0.10.170: icmp_seq=1 ttl=63 time=1.43 ms
64 bytes from 10.0.10.170: icmp_seq=2 ttl=63 time=1.06 ms
64 bytes from 10.0.10.170: icmp_seq=3 ttl=63 time=1.05 ms
64 bytes from 10.0.10.170: icmp_seq=4 ttl=63 time=1.28 ms
64 bytes from 10.0.10.170: icmp_seq=5 ttl=63 time=1.07 ms
64 bytes from 10.0.10.170: icmp_seq=6 ttl=63 time=0.837 ms
64 bytes from 10.0.10.170: icmp_seq=7 ttl=63 time=1.74 ms
64 bytes from 10.0.10.170: icmp_seq=8 ttl=63 time=1.14 ms
64 bytes from 10.0.10.170: icmp_seq=9 ttl=63 time=0.800 ms
64 bytes from 10.0.10.170: icmp_seq=10 ttl=63 time=1.34 ms
64 bytes from 10.0.10.170: icmp_seq=11 ttl=63 time=1.37 ms
64 bytes from 10.0.10.170: icmp_seq=12 ttl=63 time=1.07 ms
64 bytes from 10.0.10.170: icmp_seq=13 ttl=63 time=1.07 ms
64 bytes from 10.0.10.170: icmp_seq=14 ttl=63 time=1.18 ms
64 bytes from 10.0.10.170: icmp_seq=15 ttl=63 time=0.746 ms
64 bytes from 10.0.10.170: icmp_seq=16 ttl=63 time=1.19 ms
64 bytes from 10.0.10.170: icmp_seq=17 ttl=63 time=1.11 ms
64 bytes from 10.0.10.170: icmp_seq=18 ttl=63 time=1.61 ms
64 bytes from 10.0.10.170: icmp_seq=19 ttl=63 time=1.11 ms
64 bytes from 10.0.10.170: icmp_seq=20 ttl=63 time=1.04 ms
64 bytes from 10.0.10.170: icmp_seq=21 ttl=63 time=1.17 ms
64 bytes from 10.0.10.170: icmp_seq=22 ttl=63 time=0.793 ms
64 bytes from 10.0.10.170: icmp_seq=23 ttl=63 time=1.29 ms
64 bytes from 10.0.10.170: icmp_seq=24 ttl=63 time=0.853 ms
64 bytes from 10.0.10.170: icmp_seq=25 ttl=63 time=1.38 ms
64 bytes from 10.0.10.170: icmp_seq=26 ttl=63 time=1.00 ms
64 bytes from 10.0.10.170: icmp_seq=27 ttl=63 time=0.957 ms
64 bytes from 10.0.10.170: icmp_seq=28 ttl=63 time=0.916 ms
64 bytes from 10.0.10.170: icmp_seq=29 ttl=63 time=1.05 ms
64 bytes from 10.0.10.170: icmp_seq=30 ttl=63 time=1.09 ms
64 bytes from 10.0.10.170: icmp_seq=31 ttl=63 time=0.820 ms
64 bytes from 10.0.10.170: icmp_seq=32 ttl=63 time=0.840 ms
64 bytes from 10.0.10.170: icmp_seq=33 ttl=63 time=1.36 ms
64 bytes from 10.0.10.170: icmp_seq=34 ttl=63 time=0.961 ms
64 bytes from 10.0.10.170: icmp_seq=35 ttl=63 time=1.17 ms
64 bytes from 10.0.10.170: icmp_seq=36 ttl=63 time=0.857 ms
64 bytes from 10.0.10.170: icmp_seq=37 ttl=63 time=1.07 ms
64 bytes from 10.0.10.170: icmp_seq=38 ttl=63 time=0.981 ms
64 bytes from 10.0.10.170: icmp_seq=39 ttl=63 time=0.528 ms
