PING 10.0.10.155 (10.0.10.155) 56(84) bytes of data.
64 bytes from 10.0.10.155: icmp_seq=41 ttl=63 time=1.24 ms
64 bytes from 10.0.10.155: icmp_seq=42 ttl=63 time=1.55 ms
64 bytes from 10.0.10.155: icmp_seq=43 ttl=63 time=1.39 ms
64 bytes from 10.0.10.155: icmp_seq=44 ttl=63 time=1.91 ms
64 bytes from 10.0.10.155: icmp_seq=45 ttl=63 time=1.81 ms
64 bytes from 10.0.10.155: icmp_seq=46 ttl=63 time=0.760 ms
64 bytes from 10.0.10.155: icmp_seq=47 ttl=63 time=0.926 ms
64 bytes from 10.0.10.155: icmp_seq=48 ttl=63 time=1.01 ms
64 bytes from 10.0.10.155: icmp_seq=49 ttl=63 time=0.692 ms
64 bytes from 10.0.10.155: icmp_seq=50 ttl=63 time=0.792 ms
64 bytes from 10.0.10.155: icmp_seq=51 ttl=63 time=1.25 ms
64 bytes from 10.0.10.155: icmp_seq=52 ttl=63 time=0.833 ms
64 bytes from 10.0.10.155: icmp_seq=53 ttl=63 time=0.636 ms
64 bytes from 10.0.10.155: icmp_seq=54 ttl=63 time=1.18 ms
64 bytes from 10.0.10.155: icmp_seq=55 ttl=63 time=0.935 ms
64 bytes from 10.0.10.155: icmp_seq=56 ttl=63 time=0.761 ms
64 bytes from 10.0.10.155: icmp_seq=57 ttl=63 time=0.856 ms
64 bytes from 10.0.10.155: icmp_seq=58 ttl=63 time=1.06 ms
64 bytes from 10.0.10.155: icmp_seq=59 ttl=63 time=1.71 ms
64 bytes from 10.0.10.155: icmp_seq=60 ttl=63 time=0.705 ms
64 bytes from 10.0.10.155: icmp_seq=61 ttl=63 time=0.881 ms
64 bytes from 10.0.10.155: icmp_seq=62 ttl=63 time=1.39 ms
64 bytes from 10.0.10.155: icmp_seq=63 ttl=63 time=0.865 ms
64 bytes from 10.0.10.155: icmp_seq=64 ttl=63 time=1.29 ms
64 bytes from 10.0.10.155: icmp_seq=65 ttl=63 time=1.02 ms
64 bytes from 10.0.10.155: icmp_seq=66 ttl=63 time=1.43 ms
64 bytes from 10.0.10.155: icmp_seq=67 ttl=63 time=1.61 ms
64 bytes from 10.0.10.155: icmp_seq=68 ttl=63 time=1.61 ms
64 bytes from 10.0.10.155: icmp_seq=69 ttl=63 time=1.24 ms
64 bytes from 10.0.10.155: icmp_seq=70 ttl=63 time=0.869 ms
64 bytes from 10.0.10.155: icmp_seq=71 ttl=63 time=1.10 ms
64 bytes from 10.0.10.155: icmp_seq=72 ttl=63 time=0.597 ms
64 bytes from 10.0.10.155: icmp_seq=73 ttl=63 time=1.24 ms
64 bytes from 10.0.10.155: icmp_seq=74 ttl=63 time=1.17 ms
64 bytes from 10.0.10.155: icmp_seq=75 ttl=63 time=1.01 ms
64 bytes from 10.0.10.155: icmp_seq=76 ttl=63 time=1.02 ms
64 bytes from 10.0.10.155: icmp_seq=77 ttl=63 time=0.598 ms
64 bytes from 10.0.10.155: icmp_seq=78 ttl=63 time=0.628 ms
64 bytes from 10.0.10.155: icmp_seq=79 ttl=63 time=1.17 ms
64 bytes from 10.0.10.155: icmp_seq=80 ttl=63 time=0.699 ms
64 bytes from 10.0.10.155: icmp_seq=81 ttl=63 time=0.669 ms
64 bytes from 10.0.10.155: icmp_seq=82 ttl=63 time=0.623 ms
64 bytes from 10.0.10.155: icmp_seq=83 ttl=63 time=1.27 ms
64 bytes from 10.0.10.155: icmp_seq=84 ttl=63 time=0.768 ms
64 bytes from 10.0.10.155: icmp_seq=85 ttl=63 time=0.804 ms
64 bytes from 10.0.10.155: icmp_seq=86 ttl=63 time=0.691 ms
64 bytes from 10.0.10.155: icmp_seq=87 ttl=63 time=1.55 ms
64 bytes from 10.0.10.155: icmp_seq=88 ttl=63 time=0.697 ms
64 bytes from 10.0.10.155: icmp_seq=89 ttl=63 time=1.08 ms
64 bytes from 10.0.10.155: icmp_seq=90 ttl=63 time=1.30 ms
64 bytes from 10.0.10.155: icmp_seq=91 ttl=63 time=1.04 ms
64 bytes from 10.0.10.155: icmp_seq=92 ttl=63 time=0.978 ms
64 bytes from 10.0.10.155: icmp_seq=93 ttl=63 time=1.09 ms
64 bytes from 10.0.10.155: icmp_seq=94 ttl=63 time=0.971 ms
64 bytes from 10.0.10.155: icmp_seq=95 ttl=63 time=0.489 ms
64 bytes from 10.0.10.155: icmp_seq=96 ttl=63 time=1.07 ms
64 bytes from 10.0.10.155: icmp_seq=97 ttl=63 time=0.899 ms
64 bytes from 10.0.10.155: icmp_seq=98 ttl=63 time=0.926 ms
64 bytes from 10.0.10.155: icmp_seq=99 ttl=63 time=1.25 ms
64 bytes from 10.0.10.155: icmp_seq=100 ttl=63 time=0.641 ms

--- 10.0.10.155 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99897ms
rtt min/avg/max/mdev = 0.489/0.989/1.909/0.309 ms
