PING 10.0.10.155 (10.0.10.155) 56(84) bytes of data.
64 bytes from 10.0.10.155: icmp_seq=1 ttl=63 time=1.28 ms
64 bytes from 10.0.10.155: icmp_seq=2 ttl=63 time=0.929 ms
64 bytes from 10.0.10.155: icmp_seq=3 ttl=63 time=0.842 ms
64 bytes from 10.0.10.155: icmp_seq=4 ttl=63 time=1.32 ms
64 bytes from 10.0.10.155: icmp_seq=5 ttl=63 time=0.781 ms
64 bytes from 10.0.10.155: icmp_seq=6 ttl=63 time=0.953 ms
64 bytes from 10.0.10.155: icmp_seq=7 ttl=63 time=0.531 ms
64 bytes from 10.0.10.155: icmp_seq=8 ttl=63 time=0.872 ms
64 bytes from 10.0.10.155: icmp_seq=9 ttl=63 time=1.01 ms
64 bytes from 10.0.10.155: icmp_seq=10 ttl=63 time=0.834 ms
64 bytes from 10.0.10.155: icmp_seq=11 ttl=63 time=0.587 ms
64 bytes from 10.0.10.155: icmp_seq=12 ttl=63 time=1.49 ms
64 bytes from 10.0.10.155: icmp_seq=13 ttl=63 time=1.04 ms
64 bytes from 10.0.10.155: icmp_seq=14 ttl=63 time=0.686 ms
64 bytes from 10.0.10.155: icmp_seq=15 ttl=63 time=1.20 ms
64 bytes from 10.0.10.155: icmp_seq=16 ttl=63 time=0.792 ms
64 bytes from 10.0.10.155: icmp_seq=17 ttl=63 time=1.13 ms
64 bytes from 10.0.10.155: icmp_seq=18 ttl=63 time=0.927 ms
64 bytes from 10.0.10.155: icmp_seq=19 ttl=63 time=1.01 ms
64 bytes from 10.0.10.155: icmp_seq=20 ttl=63 time=0.626 ms
64 bytes from 10.0.10.155: icmp_seq=21 ttl=63 time=0.845 ms
64 bytes from 10.0.10.155: icmp_seq=22 ttl=63 time=0.621 ms
64 bytes from 10.0.10.155: icmp_seq=23 ttl=63 time=0.875 ms
64 bytes from 10.0.10.155: icmp_seq=24 ttl=63 time=1.01 ms
64 bytes from 10.0.10.155: icmp_seq=25 ttl=63 time=0.712 ms
64 bytes from 10.0.10.155: icmp_seq=26 ttl=63 time=0.985 ms
64 bytes from 10.0.10.155: icmp_seq=27 ttl=63 time=0.493 ms
64 bytes from 10.0.10.155: icmp_seq=28 ttl=63 time=0.894 ms
64 bytes from 10.0.10.155: icmp_seq=29 ttl=63 time=0.659 ms
64 bytes from 10.0.10.155: icmp_seq=30 ttl=63 time=1.09 ms
64 bytes from 10.0.10.155: icmp_seq=31 ttl=63 time=0.855 ms
64 bytes from 10.0.10.155: icmp_seq=32 ttl=63 time=0.871 ms
64 bytes from 10.0.10.155: icmp_seq=33 ttl=63 time=1.02 ms
64 bytes from 10.0.10.155: icmp_seq=34 ttl=63 time=0.650 ms
64 bytes from 10.0.10.155: icmp_seq=35 ttl=63 time=0.850 ms
64 bytes from 10.0.10.155: icmp_seq=36 ttl=63 time=0.744 ms
64 bytes from 10.0.10.155: icmp_seq=37 ttl=63 time=0.670 ms
64 bytes from 10.0.10.155: icmp_seq=38 ttl=63 time=0.939 ms
64 bytes from 10.0.10.155: icmp_seq=39 ttl=63 time=1.34 ms
64 bytes from 10.0.10.155: icmp_seq=40 ttl=63 time=1.81 ms
