PING 10.0.10.164 (10.0.10.164) 56(84) bytes of data.
64 bytes from 10.0.10.164: icmp_seq=82 ttl=63 time=0.759 ms
64 bytes from 10.0.10.164: icmp_seq=83 ttl=63 time=0.664 ms
64 bytes from 10.0.10.164: icmp_seq=84 ttl=63 time=2.58 ms
64 bytes from 10.0.10.164: icmp_seq=85 ttl=63 time=0.818 ms
64 bytes from 10.0.10.164: icmp_seq=86 ttl=63 time=0.629 ms
64 bytes from 10.0.10.164: icmp_seq=87 ttl=63 time=0.694 ms
64 bytes from 10.0.10.164: icmp_seq=88 ttl=63 time=0.673 ms
64 bytes from 10.0.10.164: icmp_seq=89 ttl=63 time=0.691 ms
64 bytes from 10.0.10.164: icmp_seq=90 ttl=63 time=0.723 ms
64 bytes from 10.0.10.164: icmp_seq=91 ttl=63 time=0.866 ms
64 bytes from 10.0.10.164: icmp_seq=92 ttl=63 time=1.29 ms
64 bytes from 10.0.10.164: icmp_seq=93 ttl=63 time=0.738 ms
64 bytes from 10.0.10.164: icmp_seq=94 ttl=63 time=0.940 ms
64 bytes from 10.0.10.164: icmp_seq=95 ttl=63 time=0.773 ms
64 bytes from 10.0.10.164: icmp_seq=96 ttl=63 time=0.787 ms
64 bytes from 10.0.10.164: icmp_seq=97 ttl=63 time=0.801 ms
64 bytes from 10.0.10.164: icmp_seq=98 ttl=63 time=0.697 ms
64 bytes from 10.0.10.164: icmp_seq=99 ttl=63 time=0.831 ms
64 bytes from 10.0.10.164: icmp_seq=100 ttl=63 time=1.28 ms

--- 10.0.10.164 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 100254ms
rtt min/avg/max/mdev = 0.615/1.227/11.768/1.246 ms
